time,demand,year,month
2012-9-5,12,2012,SEPT
2012-9-6,6,2012,SEPT
2012-9-7,3,2012,SEPT
2012-9-8,36,2012,SEPT
2012-9-9,15,2012,SEPT
2012-9-10,12,2012,SEPT
2012-9-11,6,2012,SEPT
2012-9-12,3,2012,SEPT
2012-9-13,33,2012,SEPT
2012-9-14,9,2012,SEPT
2012-9-15,3,2012,SEPT
2012-9-16,9,2012,SEPT
2012-9-17,6,2012,SEPT
2012-9-18,3,2012,SEPT
2012-9-19,30,2012,SEPT
2012-9-20,18,2012,SEPT
2012-9-21,15,2012,SEPT
2012-9-22,9,2012,SEPT
2012-9-23,12,2012,SEPT
2012-9-24,3,2012,SEPT
2012-9-25,6,2012,SEPT
2012-9-26,9,2012,SEPT
2012-9-27,15,2012,SEPT
2012-9-28,3,2012,SEPT
2012-9-29,21,2012,SEPT
2012-9-30,3,2012,SEPT
2012-10-1,6,2012,OCT
2012-10-2,3,2012,OCT
2012-10-3,15,2012,OCT
2012-10-4,6,2012,OCT
2012-10-5,3,2012,OCT
2012-10-6,15,2012,OCT
2012-10-7,42,2012,OCT
2012-10-8,3,2012,OCT
2012-10-9,9,2012,OCT
2012-10-10,6,2012,OCT
2012-10-11,3,2012,OCT
2012-10-12,12,2012,OCT
2012-10-13,9,2012,OCT
2012-10-14,3,2012,OCT
2012-10-15,6,2012,OCT
2012-10-16,30,2012,OCT
2012-10-17,6,2012,OCT
2012-10-18,9,2012,OCT
2012-10-19,3,2012,OCT
2012-10-20,3,2012,OCT
2012-10-21,15,2012,OCT
2012-10-22,12,2012,OCT
2012-10-23,6,2012,OCT
2012-10-24,21,2012,OCT
2012-10-25,9,2012,OCT
2012-10-26,3,2012,OCT
2012-10-27,6,2012,OCT
2012-10-28,9,2012,OCT
2012-10-29,21,2012,OCT
2012-10-30,3,2012,OCT
2012-10-31,3,2012,OCT
2012-11-1,6,2012,NOV
2012-11-2,9,2012,NOV
2012-11-3,3,2012,NOV
2012-11-4,6,2012,NOV
2012-11-5,15,2012,NOV
2012-11-6,36,2012,NOV
2012-11-7,9,2012,NOV
2012-11-8,3,2012,NOV
2012-11-9,9,2012,NOV
2012-11-10,6,2012,NOV
2012-11-11,3,2012,NOV
2012-11-12,21,2012,NOV
2012-11-13,15,2012,NOV
2012-11-14,24,2012,NOV
2012-11-15,45,2012,NOV
2012-11-16,21,2012,NOV
2012-11-17,6,2012,NOV
2012-11-18,12,2012,NOV
2012-11-19,18,2012,NOV
2012-11-20,12,2012,NOV
2012-11-21,36,2012,NOV
2012-11-22,6,2012,NOV
2012-11-23,9,2012,NOV
2012-11-24,15,2012,NOV
2012-11-25,6,2012,NOV
2012-11-26,30,2012,NOV
2012-11-27,9,2012,NOV
2012-11-28,12,2012,NOV
2012-11-29,6,2012,NOV
2012-11-30,3,2012,NOV
2012-12-1,9,2012,DIC
2012-12-2,6,2012,DIC
2012-12-3,3,2012,DIC
2012-12-4,9,2012,DIC
2012-12-5,30,2012,DIC
2012-12-6,15,2012,DIC
2012-12-7,3,2012,DIC
2012-12-8,6,2012,DIC
2012-12-9,12,2012,DIC
2012-12-10,3,2012,DIC
2012-12-11,6,2012,DIC
2012-12-12,12,2012,DIC
2012-12-13,30,2012,DIC
2012-12-14,6,2012,DIC
2012-12-15,12,2012,DIC
2012-12-16,6,2012,DIC
2012-12-17,3,2012,DIC
2012-12-18,9,2012,DIC
2012-12-19,3,2012,DIC
2012-12-20,9,2012,DIC
2012-12-21,3,2012,DIC
2012-12-22,9,2012,DIC
2012-12-23,18,2012,DIC
2012-12-24,3,2012,DIC
2012-12-25,3,2012,DIC
2012-12-26,15,2012,DIC
2012-12-27,3,2012,DIC
2012-12-28,24,2012,DIC
2012-12-29,3,2012,DIC
2012-12-30,6,2012,DIC
2012-12-31,15,2012,DIC
2013-1-1,15,2013,ENE
2013-1-2,3,2013,ENE
2013-1-3,9,2013,ENE
2013-1-4,3,2013,ENE
2013-1-5,6,2013,ENE
2013-1-6,6,2013,ENE
2013-1-7,15,2013,ENE
2013-1-8,6,2013,ENE
2013-1-9,30,2013,ENE
2013-1-10,21,2013,ENE
2013-1-11,6,2013,ENE
2013-1-12,15,2013,ENE
2013-1-13,6,2013,ENE
2013-1-14,21,2013,ENE
2013-1-15,6,2013,ENE
2013-1-16,30,2013,ENE
2013-1-17,9,2013,ENE
2013-1-18,3,2013,ENE
2013-1-19,6,2013,ENE
2013-1-20,6,2013,ENE
2013-1-21,21,2013,ENE
2013-1-22,24,2013,ENE
2013-1-23,9,2013,ENE
2013-1-24,6,2013,ENE
2013-1-25,24,2013,ENE
2013-1-26,6,2013,ENE
2013-1-27,24,2013,ENE
2013-1-28,12,2013,ENE
2013-1-29,9,2013,ENE
2013-1-30,3,2013,ENE
2013-1-31,6,2013,ENE
2013-2-1,3,2013,FEB
2013-2-2,18,2013,FEB
2013-2-3,6,2013,FEB
2013-2-4,6,2013,FEB
2013-2-5,6,2013,FEB
2013-2-6,39,2013,FEB
2013-2-7,27,2013,FEB
2013-2-8,3,2013,FEB
2013-2-9,6,2013,FEB
2013-2-10,9,2013,FEB
2013-2-11,9,2013,FEB
2013-2-12,6,2013,FEB
2013-2-13,12,2013,FEB
2013-2-14,15,2013,FEB
2013-2-15,27,2013,FEB
2013-2-16,39,2013,FEB
2013-2-17,6,2013,FEB
2013-2-18,3,2013,FEB
2013-2-19,6,2013,FEB
2013-2-20,9,2013,FEB
2013-2-21,3,2013,FEB
2013-2-22,18,2013,FEB
2013-2-23,21,2013,FEB
2013-2-24,24,2013,FEB
2013-2-25,27,2013,FEB
2013-2-26,6,2013,FEB
2013-2-27,3,2013,FEB
2013-2-28,6,2013,FEB
2013-3-1,18,2013,MAR
2013-3-2,18,2013,MAR
2013-3-3,9,2013,MAR
2013-3-4,3,2013,MAR
2013-3-5,30,2013,MAR
2013-3-6,9,2013,MAR
2013-3-7,12,2013,MAR
2013-3-8,15,2013,MAR
2013-3-9,24,2013,MAR
2013-3-10,18,2013,MAR
2013-3-11,12,2013,MAR
2013-3-12,6,2013,MAR
2013-3-13,9,2013,MAR
2013-3-14,6,2013,MAR
2013-3-15,9,2013,MAR
2013-3-16,48,2013,MAR
2013-3-17,6,2013,MAR
2013-3-18,9,2013,MAR
2013-3-19,3,2013,MAR
2013-3-20,6,2013,MAR
2013-3-21,3,2013,MAR
2013-3-22,15,2013,MAR
2013-3-23,9,2013,MAR
2013-3-24,3,2013,MAR
2013-3-25,6,2013,MAR
2013-3-26,3,2013,MAR
2013-3-27,6,2013,MAR
2013-3-28,3,2013,MAR
2013-3-29,6,2013,MAR
2013-3-30,3,2013,MAR
2013-3-31,6,2013,MAR
2013-4-1,3,2013,ABR
2013-4-2,9,2013,ABR
2013-4-3,15,2013,ABR
2013-4-4,27,2013,ABR
2013-4-5,6,2013,ABR
2013-4-6,6,2013,ABR
2013-4-7,18,2013,ABR
2013-4-8,6,2013,ABR
2013-4-9,30,2013,ABR
2013-4-10,9,2013,ABR
2013-4-11,6,2013,ABR
2013-4-12,15,2013,ABR
2013-4-13,6,2013,ABR
2013-4-14,6,2013,ABR
2013-4-15,6,2013,ABR
2013-4-16,12,2013,ABR
2013-4-17,33,2013,ABR
2013-4-18,9,2013,ABR
2013-4-19,3,2013,ABR
2013-4-20,6,2013,ABR
2013-4-21,3,2013,ABR
2013-4-22,18,2013,ABR
2013-4-23,15,2013,ABR
2013-4-24,9,2013,ABR
2013-4-25,27,2013,ABR
2013-4-26,6,2013,ABR
2013-4-27,9,2013,ABR
2013-4-28,3,2013,ABR
2013-4-29,6,2013,ABR
2013-4-30,3,2013,ABR
2013-5-1,6,2013,MAY
2013-5-2,15,2013,MAY
2013-5-3,9,2013,MAY
2013-5-4,30,2013,MAY
2013-5-5,9,2013,MAY
2013-5-6,6,2013,MAY
2013-5-7,6,2013,MAY
2013-5-8,18,2013,MAY
2013-5-9,6,2013,MAY
2013-5-10,15,2013,MAY
2013-5-11,27,2013,MAY
2013-5-12,9,2013,MAY
2013-5-13,12,2013,MAY
2013-5-14,6,2013,MAY
2013-5-15,15,2013,MAY
2013-5-16,6,2013,MAY
2013-5-17,24,2013,MAY
2013-5-18,6,2013,MAY
2013-5-19,3,2013,MAY
2013-5-20,6,2013,MAY
2013-5-21,12,2013,MAY
2013-5-22,6,2013,MAY
2013-5-23,9,2013,MAY
2013-5-24,15,2013,MAY
2013-5-25,21,2013,MAY
2013-5-26,9,2013,MAY
2013-5-27,3,2013,MAY
2013-5-28,6,2013,MAY
2013-5-29,3,2013,MAY
2013-5-30,9,2013,MAY
2013-5-31,3,2013,MAY
2013-6-1,6,2013,JUN
2013-6-2,15,2013,JUN
2013-6-3,6,2013,JUN
2013-6-4,9,2013,JUN
2013-6-5,3,2013,JUN
2013-6-6,33,2013,JUN
2013-6-7,9,2013,JUN
2013-6-8,6,2013,JUN
2013-6-9,15,2013,JUN
2013-6-10,6,2013,JUN
2013-6-11,3,2013,JUN
2013-6-12,9,2013,JUN
2013-6-13,18,2013,JUN
2013-6-14,3,2013,JUN
2013-6-15,9,2013,JUN
2013-6-16,6,2013,JUN
2013-6-17,9,2013,JUN
2013-6-18,3,2013,JUN
2013-6-19,15,2013,JUN
2013-6-20,12,2013,JUN
2013-6-21,24,2013,JUN
2013-6-22,15,2013,JUN
2013-6-23,24,2013,JUN
2013-6-24,3,2013,JUN
2013-6-25,6,2013,JUN
2013-6-26,9,2013,JUN
2013-6-27,6,2013,JUN
2013-6-28,15,2013,JUN
2013-6-29,9,2013,JUN
2013-6-30,6,2013,JUN
2013-7-1,3,2013,JUL
2013-7-2,6,2013,JUL
2013-7-3,15,2013,JUL
2013-7-4,3,2013,JUL
2013-7-5,36,2013,JUL
2013-7-6,3,2013,JUL
2013-7-7,3,2013,JUL
2013-7-8,6,2013,JUL
2013-7-9,9,2013,JUL
2013-7-10,6,2013,JUL
2013-7-11,3,2013,JUL
2013-7-12,9,2013,JUL
2013-7-13,27,2013,JUL
2013-7-14,6,2013,JUL
2013-7-15,21,2013,JUL
2013-7-16,3,2013,JUL
2013-7-17,15,2013,JUL
2013-7-18,27,2013,JUL
2013-7-19,3,2013,JUL
2013-7-20,9,2013,JUL
2013-7-21,6,2013,JUL
2013-7-22,3,2013,JUL
2013-7-23,30,2013,JUL
2013-7-24,3,2013,JUL
2013-7-25,3,2013,JUL
2013-7-26,3,2013,JUL
2013-7-27,6,2013,JUL
2013-7-28,3,2013,JUL
2013-7-29,12,2013,JUL
2013-7-30,9,2013,JUL
2013-7-31,3,2013,JUL
2013-8-1,6,2013,AGO
2013-8-2,3,2013,AGO
2013-8-3,9,2013,AGO
2013-8-4,3,2013,AGO
2013-8-5,15,2013,AGO
2013-8-6,9,2013,AGO
2013-8-7,3,2013,AGO
2013-8-8,15,2013,AGO
2013-8-9,12,2013,AGO
2013-8-10,27,2013,AGO
2013-8-11,9,2013,AGO
2013-8-12,3,2013,AGO
2013-8-13,21,2013,AGO
2013-8-14,3,2013,AGO
2013-8-15,6,2013,AGO
2013-8-16,15,2013,AGO
2013-8-17,9,2013,AGO
2013-8-18,42,2013,AGO
2013-8-19,6,2013,AGO
2013-8-20,9,2013,AGO
2013-8-21,6,2013,AGO
2013-8-22,9,2013,AGO
2013-8-23,12,2013,AGO
2013-8-24,6,2013,AGO
2013-8-25,9,2013,AGO
2013-8-26,3,2013,AGO
2013-8-27,6,2013,AGO
2013-8-28,18,2013,AGO
2013-8-29,3,2013,AGO
2013-8-30,15,2013,AGO
2013-8-31,6,2013,AGO
2013-9-1,3,2013,SEPT
2013-9-2,6,2013,SEPT
2013-9-3,3,2013,SEPT
2013-9-4,21,2013,SEPT
2013-9-5,15,2013,SEPT
2013-9-6,12,2013,SEPT
2013-9-7,42,2013,SEPT
2013-9-8,6,2013,SEPT
2013-9-9,3,2013,SEPT
2013-9-10,12,2013,SEPT
2013-9-11,18,2013,SEPT
2013-9-12,3,2013,SEPT
2013-9-13,6,2013,SEPT
2013-9-14,15,2013,SEPT
2013-9-15,3,2013,SEPT
2013-9-16,18,2013,SEPT
2013-9-17,42,2013,SEPT
2013-9-18,6,2013,SEPT
2013-9-19,12,2013,SEPT
2013-9-20,9,2013,SEPT
2013-9-21,3,2013,SEPT
2013-9-22,12,2013,SEPT
2013-9-23,3,2013,SEPT
2013-9-24,6,2013,SEPT
2013-9-25,3,2013,SEPT
2013-9-26,6,2013,SEPT
2013-9-27,18,2013,SEPT
2013-9-28,3,2013,SEPT
2013-9-29,15,2013,SEPT
2013-9-30,6,2013,SEPT
2013-10-1,9,2013,OCT
2013-10-2,18,2013,OCT
2013-10-3,12,2013,OCT
2013-10-4,15,2013,OCT
2013-10-5,3,2013,OCT
2013-10-6,6,2013,OCT
2013-10-7,24,2013,OCT
2013-10-8,6,2013,OCT
2013-10-9,3,2013,OCT
2013-10-10,30,2013,OCT
2013-10-11,6,2013,OCT
2013-10-12,18,2013,OCT
2013-10-13,12,2013,OCT
2013-10-14,6,2013,OCT
2013-10-15,3,2013,OCT
2013-10-16,27,2013,OCT
2013-10-17,3,2013,OCT
2013-10-18,6,2013,OCT
2013-10-19,15,2013,OCT
2013-10-20,21,2013,OCT
2013-10-21,42,2013,OCT
2013-10-22,18,2013,OCT
2013-10-23,6,2013,OCT
2013-10-24,15,2013,OCT
2013-10-25,6,2013,OCT
2013-10-26,12,2013,OCT
2013-10-27,21,2013,OCT
2013-10-28,6,2013,OCT
2013-10-29,9,2013,OCT
2013-10-30,24,2013,OCT
2013-10-31,6,2013,OCT
2013-11-1,3,2013,NOV
2013-11-2,12,2013,NOV
2013-11-3,15,2013,NOV
2013-11-4,6,2013,NOV
2013-11-5,3,2013,NOV
2013-11-6,15,2013,NOV
2013-11-7,36,2013,NOV
2013-11-8,12,2013,NOV
2013-11-9,3,2013,NOV
2013-11-10,12,2013,NOV
2013-11-11,15,2013,NOV
2013-11-12,6,2013,NOV
2013-11-13,27,2013,NOV
2013-11-14,12,2013,NOV
2013-11-15,3,2013,NOV
2013-11-16,6,2013,NOV
2013-11-17,3,2013,NOV
2013-11-18,33,2013,NOV
2013-11-19,3,2013,NOV
2013-11-20,18,2013,NOV
2013-11-21,3,2013,NOV
2013-11-22,15,2013,NOV
2013-11-23,9,2013,NOV
2013-11-24,3,2013,NOV
2013-11-25,9,2013,NOV
2013-11-26,3,2013,NOV
2013-11-27,21,2013,NOV
2013-11-28,6,2013,NOV
2013-11-29,9,2013,NOV
2013-11-30,3,2013,NOV
2013-12-1,6,2013,DIC
2013-12-2,3,2013,DIC
2013-12-3,30,2013,DIC
2013-12-4,9,2013,DIC
2013-12-5,3,2013,DIC
2013-12-6,9,2013,DIC
2013-12-7,6,2013,DIC
2013-12-8,9,2013,DIC
2013-12-9,3,2013,DIC
2013-12-10,12,2013,DIC
2013-12-11,3,2013,DIC
2013-12-12,15,2013,DIC
2013-12-13,6,2013,DIC
2013-12-14,3,2013,DIC
2013-12-15,24,2013,DIC
2013-12-16,3,2013,DIC
2013-12-17,3,2013,DIC
2013-12-18,15,2013,DIC
2013-12-19,3,2013,DIC
2013-12-20,9,2013,DIC
2013-12-21,3,2013,DIC
2013-12-22,6,2013,DIC
2013-12-23,9,2013,DIC
2013-12-24,9,2013,DIC
2013-12-25,9,2013,DIC
2013-12-26,9,2013,DIC
2013-12-27,3,2013,DIC
2013-12-28,6,2013,DIC
2013-12-29,3,2013,DIC
2013-12-30,6,2013,DIC
2013-12-31,12,2013,DIC
2014-1-1,12,2014,ENE
2014-1-2,3,2014,ENE
2014-1-3,6,2014,ENE
2014-1-4,33,2014,ENE
2014-1-5,3,2014,ENE
2014-1-6,3,2014,ENE
2014-1-7,3,2014,ENE
2014-1-8,30,2014,ENE
2014-1-9,6,2014,ENE
2014-1-10,6,2014,ENE
2014-1-11,3,2014,ENE
2014-1-12,18,2014,ENE
2014-1-13,3,2014,ENE
2014-1-14,6,2014,ENE
2014-1-15,30,2014,ENE
2014-1-16,6,2014,ENE
2014-1-17,3,2014,ENE
2014-1-18,9,2014,ENE
2014-1-19,12,2014,ENE
2014-1-20,21,2014,ENE
2014-1-21,24,2014,ENE
2014-1-22,9,2014,ENE
2014-1-23,12,2014,ENE
2014-1-24,6,2014,ENE
2014-1-25,30,2014,ENE
2014-1-26,6,2014,ENE
2014-1-27,3,2014,ENE
2014-1-28,3,2014,ENE
2014-1-29,39,2014,ENE
2014-1-30,9,2014,ENE
2014-1-31,12,2014,ENE
2014-2-1,21,2014,FEB
2014-2-2,6,2014,FEB
2014-2-3,15,2014,FEB
2014-2-4,27,2014,FEB
2014-2-5,27,2014,FEB
2014-2-6,15,2014,FEB
2014-2-7,12,2014,FEB
2014-2-8,24,2014,FEB
2014-2-9,6,2014,FEB
2014-2-10,18,2014,FEB
2014-2-11,6,2014,FEB
2014-2-12,33,2014,FEB
2014-2-13,6,2014,FEB
2014-2-14,24,2014,FEB
2014-2-15,33,2014,FEB
2014-2-16,6,2014,FEB
2014-2-17,15,2014,FEB
2014-2-18,3,2014,FEB
2014-2-19,39,2014,FEB
2014-2-20,6,2014,FEB
2014-2-21,9,2014,FEB
2014-2-22,3,2014,FEB
2014-2-23,6,2014,FEB
2014-2-24,9,2014,FEB
2014-2-25,15,2014,FEB
2014-2-26,9,2014,FEB
2014-2-27,12,2014,FEB
2014-2-28,3,2014,FEB
2014-3-1,36,2014,MAR
2014-3-2,6,2014,MAR
2014-3-3,12,2014,MAR
2014-3-4,12,2014,MAR
2014-3-5,21,2014,MAR
2014-3-6,3,2014,MAR
2014-3-7,42,2014,MAR
2014-3-8,12,2014,MAR
2014-3-9,30,2014,MAR
2014-3-10,6,2014,MAR
2014-3-11,6,2014,MAR
2014-3-12,9,2014,MAR
2014-3-13,12,2014,MAR
2014-3-14,6,2014,MAR
2014-3-15,12,2014,MAR
2014-3-16,36,2014,MAR
2014-3-17,6,2014,MAR
2014-3-18,15,2014,MAR
2014-3-19,18,2014,MAR
2014-3-20,12,2014,MAR
2014-3-21,3,2014,MAR
2014-3-22,51,2014,MAR
2014-3-23,3,2014,MAR
2014-3-24,3,2014,MAR
2014-3-25,12,2014,MAR
2014-3-26,9,2014,MAR
2014-3-27,12,2014,MAR
2014-3-28,36,2014,MAR
2014-3-29,3,2014,MAR
2014-3-30,9,2014,MAR
2014-3-31,3,2014,MAR
2014-4-1,6,2014,ABR
2014-4-2,9,2014,ABR
2014-4-3,3,2014,ABR
2014-4-4,6,2014,ABR
2014-4-5,9,2014,ABR
2014-4-6,12,2014,ABR
2014-4-7,6,2014,ABR
2014-4-8,3,2014,ABR
2014-4-9,33,2014,ABR
2014-4-10,9,2014,ABR
2014-4-11,3,2014,ABR
2014-4-12,9,2014,ABR
2014-4-13,9,2014,ABR
2014-4-14,24,2014,ABR
2014-4-15,24,2014,ABR
2014-4-16,6,2014,ABR
2014-4-17,3,2014,ABR
2014-4-18,6,2014,ABR
2014-4-19,24,2014,ABR
2014-4-20,30,2014,ABR
2014-4-21,6,2014,ABR
2014-4-22,3,2014,ABR
2014-4-23,6,2014,ABR
2014-4-24,18,2014,ABR
2014-4-25,12,2014,ABR
2014-4-26,3,2014,ABR
2014-4-27,6,2014,ABR
2014-4-28,6,2014,ABR
2014-4-29,15,2014,ABR
2014-4-30,6,2014,ABR
2014-5-1,9,2014,MAY
2014-5-2,3,2014,MAY
2014-5-3,18,2014,MAY
2014-5-4,30,2014,MAY
2014-5-5,6,2014,MAY
2014-5-6,6,2014,MAY
2014-5-7,9,2014,MAY
2014-5-8,3,2014,MAY
2014-5-9,21,2014,MAY
2014-5-10,15,2014,MAY
2014-5-11,6,2014,MAY
2014-5-12,12,2014,MAY
2014-5-13,21,2014,MAY
2014-5-14,6,2014,MAY
2014-5-15,9,2014,MAY
2014-5-16,3,2014,MAY
2014-5-17,9,2014,MAY
2014-5-18,3,2014,MAY
2014-5-19,9,2014,MAY
2014-5-20,15,2014,MAY
